userid,followerid
19343,0
20962,0
1427583973,244
1427587605,443
1427589977,88
1427590831,45
1427591573,175
1427592210,807
1427592300,145
1427592465,77
1427593052,11
1427593641,267
1427595804,45
1427598480,245
1427601244,58
1427602503,89
1427602581,51
1427603034,355
1427603313,89
1427603960,33
1427605041,151
1427608695,73
1427611500,920
1427612513,389
1427616657,156
1427616842,25
1427616882,204
1427617877,952
1427620683,49
1427622133,197
1427624332,204
1427626355,138
1427627952,312
1427631271,504
1427633167,711
1427634153,95
1427635110,300
1427639247,505
1427648447,190
1427648915,875
1427652811,158
1427652963,353
1427654367,894
1427654820,105
1427656354,274
1427659827,1094
1427662425,278
1427668517,259
1427672811,116
1427675612,148
1427677814,168
1427679360,890
1427682987,126
1427683122,85
1427683692,319
1427685475,147
1427688265,270
1427689630,149
1427699837,211
1427701864,259
1427704773,411
1427705930,524
1427710465,511
1427714217,23
1427715021,72
1427716044,36
1427716985,496
1427717997,179
1427718241,69
1427718637,181
1427721785,1665
1427722075,277
1427722133,105
1427723110,114
1427727480,352
1427731544,955
1427731845,50
1427732714,699
1427733180,627
1427733671,348
1427733824,194
1427733943,34
1427739495,197
1427743413,17
1427747761,384
1427749581,280
1427749604,768
1427751365,53
1427751511,52
1427753861,374
1427755310,116
1427756644,504
1427757742,513
1427758353,75
1427763725,437
1427763785,105
1427764695,107
1427764763,39
1427764885,1108
1427767664,146
1427770475,955
1427772923,110
1427772955,133
1427778110,116
1427778630,11
1427781257,577
1427784422,162
1427785057,379
1427790270,29
1427791747,169
1427793024,74
1427794842,607
1427798572,90
1427799307,482
1427801217,41
1427802851,88
1427803060,147
1427807683,273
1427808664,1057
1427810841,143
1427813545,52
1427815721,641
1427816602,422
1427820455,12
1427823420,36
1427825320,188
1427825430,106
1427827025,1065
1427827193,446
1427827570,791
1427828665,70
1427830533,149
1427833624,1132
1427834320,66
1427835531,444
1427836754,40
1427837635,152
1427839717,740
1427840352,476
1427841315,129
1427842754,255
1427842945,350
1427843737,925
1427844833,122
1427844971,12
1427846302,599
1427848567,103
1427851377,450
1427854112,94
1427855105,221
1427856044,221
1427860251,1522
1427860691,146
1427862181,23
1427864260,107
1427864280,147
1427864321,1274
1427864823,81
1427869902,83
1427871170,176
1427872764,202
1427874617,27
1427875813,100
1427876533,159
1427877127,88
1427877191,535
1427877877,553
1427880974,166
1427882435,425
1427886984,81
1427890455,288
1427893767,233
1427894905,129
1427898074,157
1427899751,241
1427900227,71
1432602970,116
1432603415,49
1432604335,138
1432612943,749
1432612955,17
1432614015,104
1432615223,51
1432616984,270
1432622324,83
1432622982,77
1432627840,77
1432627977,212
1432631611,1171
1432633344,60
1432633995,346
1432634592,170
1432635785,49
1432637681,56
1432640924,36
1432641281,110
1432644924,241
1432645403,163
1432645435,253
1432648212,256
1432651341,299
1432651591,206
1432655664,533
1432659015,66
1432659420,253
1432660452,273
1432662141,40
1432663931,192
1432665233,28
1432668761,513
1432669251,566
1432669377,94
1432670765,109
1432674253,75
1432678663,127
1432680574,69
1432681090,225
1432681345,137
1432682655,126
1432682854,294
1432684130,183
1432684464,117
1432689460,936
1432691295,212
1432693372,66
1432695027,208
1432700083,97
1432702001,63
1432702731,135
1432703175,309
1432703867,81
1432707775,253
1432710393,168
1432714760,206
1432715825,128
1432715841,151
1432716392,93
1432717803,24
1432718793,67
1432724711,608
1432725760,160
1432725934,82
1432727987,795
1432735085,54
1432745315,1155
1432760514,168
1432761741,362
1432764915,39
1432765150,346
1432776161,380
1432780360,659
1432785024,127
1432785783,61
1432791601,112
1432804503,297
1432805264,243
1432805790,7
1432820162,1379
1432823653,413
1432828334,99
1432836790,157
1432845141,22
1432847273,66
1432850304,200
1432854021,227
1432857914,291
1432862417,1033
1432866452,900
1432869167,105
1432871933,70
1432873234,193
1432875094,122
1432889673,1460
1432895575,29
1432895617,19
1432898205,570
1432910457,272
1432914911,79
1432917292,672
1432921335,1057
1432923947,114
1432924181,41
1432931987,135
1432936420,191
1432938931,625
1432941235,453
1432947320,142
1432947450,138
1432954130,39
1432959657,179
1432960257,17
1432974172,1068
1432976944,29
1432981687,112
1433002360,515
1433003152,1062
1433003823,312
1433008470,34
1433012600,60
1433014400,52
1433022504,91
1433025417,94
1433027131,62
1433027452,173
1433032465,51
1433032790,113
1433033120,63
1433033357,30
1433033533,159
1433035470,212
1433036224,230
1433039047,54
1433043994,139
1433045643,275
1433048100,38
1433048350,356
1433050905,184
1433051460,1785
1433053694,113
1433055292,246
1433057320,471
1433057603,139
1433059564,71
1433060821,34
1433061381,291
1433063245,868
1433063440,120
1433063880,281
1433066175,180
1433068453,112
1433070232,238
1433070857,322
1433072795,106
1433075185,458
1433077095,181
1433080745,23
1433086265,298
1433086425,1253
1433087100,439
1433087902,85
1433088241,353
1433091910,251
1433101515,159
1433103593,308
1433105404,556
1433105571,224
1433107491,899
1433114135,447
1433116653,285
1433117594,238
1433119823,155
1433119840,137
1433121964,38
1433123075,1284
1433125275,137
1433127597,337
1433128597,70
1433128943,355
1433130224,214
1433133064,395
1433133782,43
1433134215,179
1433135582,268
1433135800,63
1433136073,171
1433138157,116
1433138330,36
1433139807,387
1433141692,106
1433142511,93
